mort,category,geography,YEAR,SEX,deaths,population,crude_rate_per_100000,age_standardised_rate_per_100000,rate_ratio,premature_deaths,premature_deaths_percent,premature_deaths_asr_per_100000,potential_years_of_life_lost,pyll_rate_per_1000,potentially_avoidable_deaths,pad_percent,pad_asr_per_100000,median_age
REM1,Remoteness area,Major Cities of Australia,2019,Males,"55,374","9,071,223",610.4,583.7,0.94,"21,406",38.7,231.5,"361,777",42.3,"10,873",50.8,118.9,79.7
REM1,Remoteness area,Major Cities of Australia,2020,Males,"54,149","9,186,473",589.4,552.0,0.95,"20,894",38.6,221.0,"347,211",40.1,"10,560",50.5,113.1,79.6
REM1,Remoteness area,Major Cities of Australia,2021,Males,"57,446","9,171,685",626.3,569.1,0.95,"21,363",37.2,224.0,"347,736",40.4,"10,461",49.0,111.3,80.1
REM1,Remoteness area,Major Cities of Australia,2022,Males,"64,563","9,294,893",694.6,622.8,0.96,"23,106",35.8,240.9,"374,722",43.0,"11,119",48.1,117.4,80.3
REM1,Remoteness area,Major Cities of Australia,2023,Males,"61,437","9,573,595",641.7,575.5,0.95,"21,938",35.7,225.4,"358,240",40.0,"10,692",48.7,111.0,80.2
REM2,Remoteness area,Inner Regional Australia,2019,Males,"20,031","2,207,128",907.5,666.4,1.08,"8,032",40.1,290.4,"121,324",59.7,"4,086",50.9,155.7,78.7
REM2,Remoteness area,Inner Regional Australia,2020,Males,"19,444","2,236,077",869.6,623.4,1.07,"7,802",40.1,274.4,"115,365",56.3,"3,984",51.1,147.6,78.7
REM2,Remoteness area,Inner Regional Australia,2021,Males,"20,585","2,264,864",908.9,635.6,1.06,"8,023",39.0,277.0,"119,976",58.0,"3,998",49.8,145.9,79.1
REM2,Remoteness area,Inner Regional Australia,2022,Males,"22,915","2,293,850",999.0,678.3,1.05,"8,402",36.7,283.9,"120,338",57.7,"4,233",50.4,150.4,79.6
REM2,Remoteness area,Inner Regional Australia,2023,Males,"22,335","2,323,176",961.4,643.6,1.06,"8,350",37.4,281.1,"120,691",57.4,"4,102",49.1,146.6,79.3
