SA1_CODE_2021,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_not_stated
11971592519,44,743,14
11106735788,86,888,12
11130474331,58,866,29
11851771745,36,832,18
11261487813,83,1153,28
11685842989,95,738,18
11472672887,33,518,40
11547667751,95,1125,25
11683741719,99,625,18
11235313294,66,1136,48
11197176088,81,937,23
11886046083,43,593,20
11329366906,95,933,33
11538307853,70,1044,18
11887597948,71,533,25
11160267816,33,700,47
11973499614,82,520,18
11803977928,55,1053,24
11230532543,62,917,46
11259357280,53,1168,37
11395324015,31,813,33
11696901359,60,649,27
11693612004,100,618,15
11229325148,69,1151,24
11165590852,27,605,18
11599214202,67,587,49
11726483020,43,1168,24
11614804511,98,960,18
11836559079,32,958,20
11569753163,89,717,29
11181882487,51,570,43
11427488260,81,733,27
11557790323,45,659,28
11749500921,84,716,42
11941318025,56,506,43
11063940875,25,1124,35
11065602244,43,1052,40
11310589336,79,633,10
11732592124,91,1018,35
11177083925,54,860,29
11813228176,100,564,47
11038634693,69,608,33
11631687857,41,707,27
11954636516,67,743,29
11638668555,96,1065,18
11925588020,81,1106,25
11555055409,57,963,46
11698085868,85,998,30
11410664201,83,746,35
11568577070,87,768,41
11194541611,33,924,14
11410483950,54,862,36
11435228459,91,1187,12
11068023714,49,580,24
11771926311,67,1182,32
11004777363,89,695,17
11287860883,88,1004,22
11736901111,33,1006,35
11023963903,33,748,19
11615153623,24,903,12
11036671349,41,1159,38
11861782369,66,674,46
11539176056,93,849,21
11427064212,40,1025,16
11856947769,76,750,47
11281421248,86,949,44
11672996917,81,1110,47
11581728384,71,722,10
11718789885,47,901,49
11957016184,47,1064,49
11834423512,66,558,41
11632830244,84,518,46
11428458625,38,832,41
11788214133,96,1196,16
11276252657,30,1072,24
11862493217,26,826,41
11573616466,87,1051,32
11084567561,51,1092,38
11911551907,24,1005,37
11472778989,57,747,46
11701904901,99,910,30
11578690512,70,1145,10
11593342893,85,810,41
11007913238,28,1072,23
11735677311,82,699,46
11645037189,49,1073,11
11175778235,37,917,27
11205425297,40,791,15
11515380448,54,718,24
11723482373,20,944,36
11268565647,39,814,27
11663928896,35,939,42
11643180979,94,1064,42
11140702366,30,733,22
11828767715,89,556,30
11056064290,33,667,47
11746041926,92,879,30
11772282054,37,765,23
11893677232,30,697,18
11145515048,68,783,10
