mort,category,geography,YEAR,SEX,deaths,population,crude_rate_per_100000,age_standardised_rate_per_100000,rate_ratio,premature_deaths,premature_deaths_percent,premature_deaths_asr_per_100000,potential_years_of_life_lost,pyll_rate_per_1000,potentially_avoidable_deaths,pad_percent,pad_asr_per_100000,median_age
LGA51260,Local Government Area (LGA),Busselton,2019,Males,138,"19,550",707.3,521.3,0.84,48,34.8,197.7,718,40.0,19,39.6,,82.0
LGA33220,Local Government Area (LGA),Fraser Coast,2020,Males,645,"54,004",1193.6,709.3,1.22,247,38.3,336.2,"3,648",76.3,112,45.4,164.6,79.0
SA312201,Statistical Area Level 3 (SA3),Manly,2023,Persons,205,"44,481",460.9,344.3,0.67,62,30.2,129.7,997,24.3,25,40.3,53.2,83.7
SA4117,Statistical Area Level 4 (SA4),Sydney - City and Inner South,2021,Females,574,"161,475",355.5,390.6,0.91,192,33.4,137.2,"3,498",22.7,89,46.4,62.4,82.1
SA350903,Statistical Area Level 3 (SA3),Wheat Belt - South,2023,Females,76,"9,773",777.7,496.9,1.15,25,32.9,224.0,491,55.7,12,48.0,,81.5
LGA13850,Local Government Area (LGA),Hay,2020,Males,20,"1,471",1353.2,,,8,40.0,,189,143.3,5,,,77.0
PHN306,Primary Health Network (PHN),"Central Queensland, Wide Bay, Sunshine Coast",2022,Females,"3,732","471,352",791.7,457.4,0.99,"1,018",27.3,162.5,"14,574",34.4,470,46.2,78.6,83.7
LGA14220,Local Government Area (LGA),Inverell,2020,Persons,164,"18,014",911.3,549.1,1.12,47,28.9,211.7,696,43.1,24,50.4,114.9,81.1
SA321301,Statistical Area Level 3 (SA3),Brimbank,2020,Persons,"1,149","195,438",587.9,524.1,1.07,427,37.2,202.3,"7,097",38.6,198,46.4,95.4,81.1
LGA62010,Local Government Area (LGA),Flinders (Tas.),2020,Females,2,446,448.4,,,1,,,22,56.1,1,,,
SA4107,Statistical Area Level 4 (SA4),Illawarra,2023,Persons,"2,692","321,807",836.5,542.4,1.06,718,26.7,192.1,"10,429",35.6,296,41.2,81.2,83.4
SA360104,Statistical Area Level 3 (SA3),Hobart - South and West,2019,Females,128,"18,597",688.3,448.1,1.02,30,23.4,126.2,377,22.1,16,53.3,,84.0
