SA2_Code_2021,SA2_Name_2021,State_Name_2021,Population,IRSD_Score,IRSD_Rank_Australia,IRSD_Decile_Australia,IRSD_Percentile_Australia
208011168,Beaumaris,VIC,14021.0,1108.397189,2294.0,10.0,98.0
309011227,Mermaid Beach - Broadbeach,QLD,13997.0,1037.078288,1502.0,7.0,64.0
215021470,Mildura - South,VIC,16408.0,948.5396604,483.0,3.0,21.0
801011013,Hawker,ACT,3008.0,1077.994397,2034.0,9.0,87.0
215031402,Kerang,VIC,3960.0,918.8353986,305.0,2.0,13.0
401021003,Adelaide Hills,SA,7051.0,1062.473768,1857.0,8.0,79.0
119011354,Bass Hill - Georges Hall,NSW,23855.0,887.4091041,186.0,1.0,8.0
106011111,Kurri Kurri - Abermain,NSW,20631.0,923.9400427,332.0,2.0,15.0
213051590,Wyndham Vale - South,VIC,13546.0,958.3089167,574.0,3.0,25.0
311051326,Loganlea,QLD,11776.0,866.0660396,134.0,1.0,6.0
511031283,Leinster - Leonora,WA,4804.0,732.6654023,32.0,1.0,2.0
213051586,Truganina - North,VIC,9340.0,1040.180372,1535.0,7.0,66.0
309091540,Southport - North,QLD,17891.0,943.2799388,439.0,2.0,19.0
319011501,Svensson Heights - Norville,QLD,5809.0,887.7417615,187.0,1.0,8.0
403021061,Mitchell Park,SA,16516.0,959.1877536,579.0,3.0,25.0
107011134,Unanderra - Mount Kembla,NSW,15280.0,1011.07617,1167.0,5.0,50.0
204021063,Benalla,VIC,10822.0,950.4355162,497.0,3.0,22.0
102021056,Warnervale - Wadalba,NSW,20051.0,1002.288512,1064.0,5.0,46.0
110041204,Tamworth - West,NSW,5998.0,812.7760311,62.0,1.0,3.0
211051274,Belgrave - Selby,VIC,10005.0,1072.387176,1978.0,9.0,85.0
404011091,Flinders Park,SA,16361.0,1003.606676,1081.0,5.0,46.0
204021064,Benalla Surrounds,VIC,3781.0,1020.717773,1274.0,6.0,55.0
127031601,Warwick Farm,NSW,5937.0,803.0910477,58.0,1.0,3.0
205031090,Leongatha,VIC,11502.0,998.4678305,1025.0,5.0,44.0
306011143,Yorkeys Knob - Machans Beach,QLD,6133.0,961.3741189,595.0,3.0,26.0
123031447,Picton - Tahmoor - Buxton,NSW,18987.0,1016.014256,1227.0,6.0,53.0
119021661,Canterbury - South,NSW,12220.0,976.7483607,753.0,4.0,32.0
801091109,Phillip,ACT,5197.0,1067.460432,1913.0,9.0,82.0
212031560,Cranbourne North - West,VIC,11910.0,946.0908799,461.0,2.0,20.0
122031693,Collaroy - Collaroy Plateau,NSW,13980.0,1091.414597,2176.0,10.0,93.0
111031225,Lambton - New Lambton,NSW,17343.0,1033.799736,1447.0,7.0,62.0
311061330,Kingston (Qld),QLD,10371.0,774.2161951,42.0,1.0,2.0
407011147,Strathalbyn Surrounds,SA,7969.0,1014.799941,1208.0,6.0,52.0
403041077,Flagstaff Hill,SA,10784.0,1067.682068,1918.0,9.0,82.0
118011345,Paddington - Moore Park,NSW,14793.0,1099.607701,2238.0,10.0,96.0
213011332,Keilor Downs,VIC,13082.0,965.0652199,637.0,3.0,28.0
402041043,Parafield Gardens,SA,18467.0,880.4027662,165.0,1.0,8.0
204031070,Chiltern - Indigo Valley,VIC,3184.0,1020.745212,1275.0,6.0,55.0
510021267,East Pilbara,WA,5910.0,641.0948914,19.0,1.0,1.0
402041048,Salisbury North,SA,18487.0,828.9759308,76.0,1.0,4.0
604011080,Romaine - Havenview,TAS,3535.0,946.279623,463.0,2.0,20.0
111011214,Warners Bay - Boolaroo,NSW,14694.0,1029.13953,1380.0,6.0,59.0
209031212,Panton Hill - St Andrews,VIC,5091.0,1086.43613,2123.0,10.0,91.0
310041304,Springfield Lakes,QLD,23526.0,1043.498462,1587.0,7.0,68.0
317011447,Drayton - Harristown,QLD,10823.0,906.8542721,254.0,2.0,11.0
306041164,Daintree,QLD,6674.0,950.2454914,494.0,3.0,21.0
311051325,Loganholme - Tanah Merah,QLD,11588.0,1003.424595,1078.0,5.0,46.0
702041064,Nhulunbuy,NT,3267.0,1083.111807,2097.0,9.0,90.0
801011025,Spence,ACT,2587.0,1060.637655,1837.0,8.0,79.0
505031306,Wanneroo - Sinagra,WA,14678.0,997.1630701,1007.0,5.0,43.0
318011462,Charters Towers,QLD,8040.0,911.4362722,273.0,2.0,12.0
316061442,Landsborough,QLD,15652.0,1042.069667,1568.0,7.0,67.0
127011595,Hinchinbrook,NSW,13038.0,945.2336453,454.0,2.0,20.0
114011274,Culburra Beach,NSW,5105.0,987.479247,882.0,4.0,38.0
210031237,Fawkner,VIC,14002.0,936.1842233,393.0,2.0,17.0
602031061,Northern Midlands,TAS,3700.0,932.6252633,377.0,2.0,17.0
319051525,Maryborough Surrounds - South,QLD,9548.0,894.1282234,208.0,1.0,9.0
701021011,Anula,NT,2385.0,995.7007407,988.0,5.0,42.0
601031019,Moonah,TAS,5737.0,945.6620548,456.0,2.0,20.0
407021157,Tatiara,SA,6891.0,981.6245795,809.0,4.0,35.0
102021044,Bateau Bay - Killarney Vale,NSW,22825.0,991.0340806,927.0,4.0,40.0
122031694,Dee Why (South) - North Curl Cur,NSW,9116.0,1081.658859,2075.0,9.0,89.0
209041221,Mill Park - South,VIC,11240.0,988.6527456,892.0,4.0,38.0
209031214,Research - North Warrandyte,VIC,6935.0,1106.861909,2289.0,10.0,98.0
118011346,Rose Bay - Vaucluse - Watsons Ba,NSW,11924.0,1114.426497,2316.0,10.0,99.0
115011291,Baulkham Hills (West) - Bella Vi,NSW,21683.0,1102.841818,2265.0,10.0,97.0
112031251,Murwillumbah,NSW,9501.0,934.3268442,384.0,2.0,17.0
122031430,Manly Vale - Allambie Heights,NSW,17550.0,1090.303102,2164.0,10.0,92.0
119041668,Arncliffe - Bardwell Valley,NSW,16579.0,984.0702217,838.0,4.0,36.0
701041040,Moulden,NT,3053.0,863.4639744,129.0,1.0,6.0
402021035,Virginia - Waterloo Corner,SA,5693.0,957.8486149,569.0,3.0,25.0
309061247,Highland Park,QLD,8433.0,1013.790397,1200.0,6.0,51.0
505021089,Karrinyup - Gwelup - Carine,WA,22602.0,1103.457527,2268.0,10.0,97.0
308051538,Telina - Toolooa,QLD,6387.0,974.4672418,731.0,4.0,32.0
316031428,Mooloolaba - Alexandra Headland,QLD,12443.0,1027.895312,1365.0,6.0,58.0
405041125,Moonta,SA,5217.0,938.3882387,406.0,2.0,18.0
313011363,Bribie Island,QLD,20612.0,954.1360041,547.0,3.0,24.0
318021484,Mount Louisa,QLD,10110.0,1025.891395,1332.0,6.0,57.0
801041038,Forde,ACT,4435.0,1118.150202,2331.0,10.0,100.0
403021059,Hallett Cove,SA,12609.0,1056.751789,1789.0,8.0,76.0
119031373,Riverwood,NSW,11606.0,855.8142581,114.0,1.0,5.0
406021141,Outback,SA,2030.0,942.4043961,434.0,2.0,19.0
316011415,Mountain Creek,QLD,11950.0,1030.315067,1397.0,6.0,60.0
505021093,Stirling - Osborne Park,WA,14620.0,1045.065798,1604.0,7.0,69.0
901031003,Jervis Bay,OT,310.0,864.7053011,130.0,1.0,6.0
319031511,Cooloola,QLD,6568.0,901.2155235,233.0,1.0,10.0
121031409,Pymble,NSW,17221.0,1116.40948,2321.0,10.0,99.0
212021293,Berwick - North,VIC,22963.0,1057.342594,1792.0,8.0,77.0
119041377,Kingsgrove (South) - Bardwell Pa,NSW,12973.0,1014.122575,1204.0,6.0,52.0
112021249,Lismore Surrounds,NSW,15786.0,1011.913928,1179.0,6.0,51.0
203021043,Lara,VIC,20817.0,1026.60442,1338.0,6.0,57.0
207011519,Hawthorn - North,VIC,9890.0,1087.65006,2141.0,10.0,91.0
305041136,Red Hill (Qld),QLD,5975.0,1090.39304,2168.0,10.0,93.0
801011006,Dunlop,ACT,7265.0,1061.571187,1845.0,8.0,79.0
309071253,Hope Island,QLD,14665.0,1056.159929,1780.0,8.0,76.0
311061335,Underwood,QLD,6809.0,1019.218036,1252.0,6.0,54.0
105031100,Dubbo - East,NSW,10633.0,975.1192446,744.0,4.0,32.0
121021578,Hornsby - West,NSW,10629.0,1067.573624,1915.0,9.0,82.0
123031446,Douglas Park - Appin,NSW,11112.0,1073.662451,1993.0,9.0,85.0
506031129,Riverton - Shelley - Rossmoyne,WA,14518.0,1070.664331,1960.0,9.0,84.0
120031576,Strathfield South,NSW,3636.0,1036.259901,1486.0,7.0,64.0
302031038,Northgate - Virginia,QLD,7068.0,1052.870384,1726.0,8.0,74.0
315031410,Far Central West,QLD,2156.0,962.4898279,609.0,3.0,26.0
305011111,Spring Hill,QLD,6860.0,1007.546869,1126.0,5.0,48.0
120031392,Canterbury (North) - Ashbury,NSW,11999.0,1033.8053,1448.0,7.0,62.0
506031125,Canning Vale - West,WA,10078.0,1069.270585,1944.0,9.0,83.0
315011398,Kowanyama - Pormpuraaw,QLD,1691.0,534.9857533,11.0,1.0,1.0
506021310,Kewdale,WA,7394.0,1001.091768,1048.0,5.0,45.0
301031021,Wynnum West - Hemmant,QLD,15681.0,999.9656857,1036.0,5.0,45.0
309071556,Upper Coomera (South) - Wongawal,QLD,11420.0,1056.272963,1782.0,8.0,76.0
318021467,Aitkenvale,QLD,4797.0,915.7373278,289.0,2.0,13.0
701041039,Gray,NT,3142.0,897.2053922,221.0,1.0,10.0
124041468,Yarramundi - Londonderry,NSW,7504.0,1012.766165,1190.0,6.0,51.0
505031305,Madeley - Darch,WA,14199.0,1051.552179,1713.0,8.0,73.0
212051324,Mount Waverley - South,VIC,19265.0,1067.849932,1922.0,9.0,82.0
509021242,Mukinbudin,WA,3005.0,984.1959753,840.0,4.0,36.0
207031167,Surrey Hills (East) - Mont Alber,VIC,10166.0,1095.749409,2207.0,10.0,94.0
111031234,Waratah - North Lambton,NSW,12883.0,991.8826525,938.0,4.0,40.0
120031394,Dulwich Hill - Lewisham,NSW,17948.0,1050.854798,1700.0,8.0,73.0
213031352,Yarraville,VIC,15463.0,1076.595765,2019.0,9.0,86.0
115011553,Castle Hill - Central,NSW,7677.0,1079.142614,2051.0,9.0,88.0
316061440,Caloundra Hinterland,QLD,9110.0,1012.092469,1182.0,6.0,51.0
601021012,South Arm,TAS,4616.0,1067.684873,1919.0,9.0,82.0
117031647,Waterloo,NSW,16379.0,969.0973043,684.0,3.0,30.0
216031418,Shepparton Surrounds - East,VIC,4017.0,1034.365985,1457.0,7.0,62.0
205041494,Traralgon - West,VIC,16822.0,1011.333399,1174.0,5.0,50.0
510011262,Broome,WA,14660.0,993.0454341,955.0,5.0,41.0
507011148,Banjup,WA,21746.0,1072.619372,1980.0,9.0,85.0
211031263,Bayswater North,VIC,11871.0,1028.706146,1377.0,6.0,59.0
110021192,Inverell Surrounds - East,NSW,5200.0,922.914733,327.0,2.0,14.0
307031186,Southern Downs - West,QLD,4991.0,953.7768535,544.0,3.0,24.0
102011029,Box Head - MacMasters Beach,NSW,11042.0,1063.966854,1878.0,8.0,80.0
212031303,Cranbourne South,VIC,17400.0,1053.511407,1739.0,8.0,74.0
211041272,Vermont,VIC,10993.0,1062.947492,1861.0,8.0,80.0
212031306,Lynbrook - Lyndhurst,VIC,18027.0,1020.585775,1271.0,6.0,54.0
109011175,Albury Surrounds,NSW,12507.0,1012.069509,1180.0,6.0,51.0
208031190,Mentone,VIC,13197.0,1060.694497,1838.0,8.0,79.0
318011461,Burdekin,QLD,7658.0,981.8329479,812.0,4.0,35.0
124051470,St Clair,NSW,19942.0,999.254091,1031.0,5.0,44.0
601041023,Kingston Beach - Blackmans Bay,TAS,11051.0,1063.128768,1863.0,8.0,80.0
511021277,Exmouth,WA,4659.0,1016.460277,1230.0,6.0,53.0
123011702,Spring Farm,NSW,9539.0,1057.790887,1800.0,8.0,77.0
502011025,Mandurah,WA,10256.0,858.6771824,120.0,1.0,6.0
108051169,Taree,NSW,21123.0,878.7914253,161.0,1.0,7.0
203031048,Clifton Springs,VIC,16797.0,1013.845111,1202.0,6.0,52.0
311031317,Marsden,QLD,15988.0,839.2520327,85.0,1.0,4.0
604031097,West Coast (Tas.),TAS,4267.0,860.5124845,123.0,1.0,6.0
307031187,Stanthorpe,QLD,5286.0,913.1038473,280.0,2.0,12.0
213011335,St Albans - South,VIC,17454.0,821.249145,68.0,1.0,3.0
119011360,Revesby,NSW,17664.0,979.5329276,788.0,4.0,34.0
201011007,Smythes Creek,VIC,4230.0,1055.321613,1768.0,8.0,76.0
308031219,Rockhampton Surrounds - North,QLD,4598.0,1014.94095,1211.0,6.0,52.0
103021068,Parkes Surrounds,NSW,3262.0,949.578866,490.0,3.0,21.0
505011073,Greenwood - Warwick,WA,13723.0,1052.123119,1721.0,8.0,74.0
601051027,Hobart,TAS,9025.0,1020.624252,1272.0,6.0,55.0
206041506,North Melbourne,VIC,15637.0,980.6817516,799.0,4.0,34.0
116011626,Seven Hills - Prospect,NSW,14866.0,1005.041616,1096.0,5.0,47.0
507031170,Calista,WA,7434.0,877.0243186,157.0,1.0,7.0
105011096,Walgett - Lightning Ridge,NSW,5534.0,883.1530828,173.0,1.0,8.0
112021244,Casino,NSW,12298.0,891.2180098,200.0,1.0,9.0
404011095,Seaton - Grange,SA,17501.0,991.3841271,931.0,4.0,40.0
302011025,Everton Park,QLD,10044.0,1062.353204,1853.0,8.0,79.0
313021368,Morayfield - East,QLD,11078.0,934.9281714,388.0,2.0,17.0
121031411,Turramurra,NSW,20251.0,1112.476143,2309.0,10.0,99.0
111011206,Belmont - Bennetts Green,NSW,17864.0,1002.001552,1058.0,5.0,45.0
309051245,Reedy Creek - Andrews,QLD,8810.0,1066.018241,1902.0,9.0,81.0
127011594,Green Valley,NSW,12919.0,884.2589877,176.0,1.0,8.0
602031064,St Helens - Scamander,TAS,6756.0,911.0880549,272.0,2.0,12.0
317011451,Lockyer Valley - West,QLD,11943.0,1008.74528,1139.0,5.0,49.0
313041374,Morayfield,QLD,5867.0,1019.42802,1255.0,6.0,54.0
210051441,Craigieburn - Central,VIC,8099.0,924.5865493,336.0,2.0,15.0
127031523,Chipping Norton - Moorebank,NSW,20813.0,1018.889516,1249.0,6.0,54.0
503011030,City Beach,WA,6805.0,1127.413674,2346.0,10.0,100.0
310021277,Boonah,QLD,12617.0,995.8809302,992.0,5.0,43.0
119041379,Kogarah Bay - Carlton - Allawah,NSW,16200.0,1008.950055,1141.0,5.0,49.0
214021378,Flinders,VIC,5995.0,1092.893474,2184.0,10.0,93.0
505021091,Osborne Park Industrial,WA,219.0,1086.787491,2129.0,10.0,91.0
120031677,Ashfield - South,NSW,12246.0,1009.269023,1143.0,5.0,49.0
119041670,Bexley - South,NSW,15831.0,980.2116845,795.0,4.0,34.0
205011076,Drouin,VIC,19773.0,990.1378577,914.0,4.0,39.0
318011460,Ayr,QLD,8987.0,951.9948364,521.0,3.0,23.0
604011077,Burnie - Wivenhoe,TAS,3779.0,885.476865,182.0,1.0,8.0
307021181,Millmerran,QLD,3223.0,908.5680765,262.0,2.0,12.0
502011029,Pinjarra,WA,10263.0,954.4188116,549.0,3.0,24.0
128021536,Oyster Bay - Como - Jannali,NSW,22063.0,1098.001511,2224.0,10.0,95.0
209031213,Plenty - Yarrambat,VIC,9454.0,1096.944051,2215.0,10.0,95.0
121011685,Greenwich - Riverview,NSW,12928.0,1128.100894,2347.0,10.0,100.0
208021181,Murrumbeena,VIC,9369.0,1077.272163,2027.0,9.0,87.0
111011207,Belmont South - Blacksmiths,NSW,5680.0,950.5320878,500.0,3.0,22.0
204011055,Euroa,VIC,6922.0,978.271778,769.0,4.0,33.0
402011026,Gawler - South,SA,21662.0,961.9386981,606.0,3.0,26.0
213041463,Caroline Springs,VIC,20365.0,1013.942572,1203.0,6.0,52.0
505011078,Kingsley,WA,13204.0,1068.596988,1936.0,9.0,83.0
302021032,Stafford,QLD,6917.0,1012.55579,1186.0,6.0,51.0
112031551,Terranora - North Tumbulgum,NSW,3324.0,1062.186698,1852.0,8.0,79.0
801031115,Majura,ACT,296.0,1099.073023,2232.0,10.0,95.0
501021007,Capel,WA,5457.0,990.5134918,918.0,4.0,39.0
116031313,Bidwill - Hebersham - Emerton,NSW,18536.0,777.9979667,44.0,1.0,2.0
211011446,Boronia,VIC,23560.0,1015.157514,1219.0,6.0,52.0
121011399,Chatswood (West) - Lane Cove Nor,NSW,21294.0,1081.600077,2073.0,9.0,89.0
407031162,Loxton,SA,5575.0,964.504511,630.0,3.0,27.0
215021469,Mildura - North,VIC,18027.0,884.5810675,179.0,1.0,8.0
124051469,Erskine Park,NSW,6486.0,1030.250264,1394.0,6.0,60.0
303041071,Tarragindi,QLD,10944.0,1100.181158,2243.0,10.0,96.0
403031067,Blackwood,SA,12963.0,1093.624493,2189.0,10.0,93.0
511041285,Geraldton,WA,11888.0,915.7163243,288.0,2.0,13.0
122031424,Beacon Hill - Narraweena,NSW,14547.0,1050.537283,1694.0,8.0,72.0
301021550,North Stradbroke Island,QLD,2156.0,977.561613,762.0,4.0,33.0
314011385,Eatons Hill,QLD,7822.0,1101.404165,2250.0,10.0,96.0
124011450,Blaxland - Warrimoo - Lapstone,NSW,18993.0,1080.512912,2065.0,9.0,88.0
103021066,Grenfell,NSW,3597.0,960.1212572,583.0,3.0,25.0
504031065,Middle Swan - Herne Hill,WA,5678.0,976.9112825,756.0,4.0,33.0
403031066,Bellevue Heights,SA,7608.0,1060.425107,1834.0,8.0,78.0
309031239,Paradise Point - Hollywell,QLD,9991.0,1048.571306,1664.0,8.0,71.0
102021048,Gorokan - Kanwal - Charmhaven,NSW,22362.0,917.3678234,299.0,2.0,13.0
210051246,Greenvale - Bulla,VIC,22095.0,1032.515532,1422.0,7.0,61.0
603021071,Geeveston - Dover,TAS,4051.0,938.4567448,408.0,2.0,18.0
127021518,Horsley Park - Kemps Creek,NSW,4344.0,1028.459116,1371.0,6.0,59.0
112021248,Lismore,NSW,15229.0,915.9403006,290.0,2.0,13.0
216031594,Shepparton - South East,VIC,16520.0,854.4006287,112.0,1.0,5.0
602021053,Beauty Point - Beaconsfield,TAS,4045.0,905.4616761,250.0,2.0,11.0
124051581,St Marys - North St Marys,NSW,17325.0,894.5930842,211.0,1.0,9.0
401061021,Prospect,SA,15785.0,1054.545623,1759.0,8.0,75.0
315011396,Cape York,QLD,7803.0,785.6858026,47.0,1.0,2.0
305031128,Newstead - Bowen Hills,QLD,18016.0,1098.583065,2229.0,10.0,95.0
601051029,Mount Nelson - Dynnyrne,TAS,5053.0,1050.482873,1689.0,8.0,72.0
404021100,North Haven,SA,14800.0,968.8774643,683.0,3.0,30.0
505031099,Butler - Merriwa - Ridgewood,WA,23679.0,966.3297937,657.0,3.0,28.0
801101135,Coombs,ACT,4851.0,1085.974821,2118.0,9.0,90.0
217031474,Corangamite - North,VIC,5395.0,962.8160245,615.0,3.0,27.0
114011277,North Nowra - Bomaderry,NSW,16098.0,984.9530468,846.0,4.0,36.0
319031513,Gympie - South,QLD,7561.0,937.422758,403.0,2.0,18.0
509021241,Moora,WA,4471.0,1001.461811,1052.0,5.0,45.0
117031333,Potts Point - Woolloomooloo,NSW,18187.0,1050.486652,1690.0,8.0,72.0
801011017,Latham,ACT,3767.0,1039.693036,1531.0,7.0,66.0
